symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
LGEINDIA,INE324D01010,14-10-2025,BSE,EQ,B,sell,FALSE,13,1700,73409700,1.76E+18,2025-10-14T10:24:21
EMMVEE,INE1C6T01020,18-11-2025,BSE,EQ,B,sell,FALSE,69,220,42037100,1.76E+18,2025-11-18T10:12:39
CORONA,INE02ZQ01018,15-12-2025,BSE,EQ,B,sell,FALSE,5,1438.5,20568500,1.77E+18,2025-12-15T13:21:26
CORONA,INE02ZQ01018,15-12-2025,BSE,EQ,B,sell,FALSE,9,1438.050049,20568700,1.77E+18,2025-12-15T13:21:26
HINDCOPPER,INE531E01026,18-12-2025,NSE,EQ,EQ,buy,FALSE,21,386.850006,207772537,1.10E+15,2025-12-18T15:26:12
HINDCOPPER,INE531E01026,18-12-2025,NSE,EQ,EQ,buy,FALSE,2,386.850006,207772535,1.10E+15,2025-12-18T15:26:12
HINDCOPPER,INE531E01026,18-12-2025,NSE,EQ,EQ,buy,FALSE,2,386.850006,207772536,1.10E+15,2025-12-18T15:26:12
HINDCOPPER,INE531E01026,18-12-2025,NSE,EQ,EQ,buy,FALSE,48,386.850006,207772538,1.10E+15,2025-12-18T15:26:12
HINDCOPPER,INE531E01026,18-12-2025,NSE,EQ,EQ,buy,FALSE,6,386.850006,207772534,1.10E+15,2025-12-18T15:26:12
HINDCOPPER,INE531E01026,18-12-2025,NSE,EQ,EQ,buy,FALSE,76,386.850006,207772539,1.10E+15,2025-12-18T15:26:12
ICICIAMC,INE346A01027,19-12-2025,BSE,EQ,A,sell,FALSE,6,2595.75,78556100,1.77E+18,2025-12-19T10:02:06
JKTYRE,INE573A01042,19-12-2025,NSE,EQ,EQ,buy,FALSE,25,484.5,208843154,1.10E+15,2025-12-19T15:21:48
JKTYRE,INE573A01042,19-12-2025,NSE,EQ,EQ,buy,FALSE,5,484.5,208843153,1.10E+15,2025-12-19T15:21:48
JKTYRE,INE573A01042,19-12-2025,NSE,EQ,EQ,buy,FALSE,70,484.5,208843155,1.10E+15,2025-12-19T15:21:48
JKTYRE,INE573A01042,24-12-2025,NSE,EQ,EQ,sell,FALSE,19,510.149994,203328720,1.10E+15,2025-12-24T10:54:18
JKTYRE,INE573A01042,24-12-2025,NSE,EQ,EQ,sell,FALSE,6,510.149994,203328719,1.10E+15,2025-12-24T10:54:18
KARURVYSYA,INE036D01028,26-12-2025,NSE,EQ,EQ,buy,FALSE,100,261.600006,402568626,1.20E+15,2025-12-26T11:31:12
JKTYRE,INE573A01042,26-12-2025,NSE,EQ,EQ,sell,FALSE,22,498.200012,204130261,1.10E+15,2025-12-26T11:47:15
JKTYRE,INE573A01042,26-12-2025,NSE,EQ,EQ,sell,FALSE,3,498.200012,204130260,1.10E+15,2025-12-26T11:47:15
BHARATFORG,INE465A01025,30-12-2025,NSE,EQ,EQ,buy,FALSE,2,1456.5,1612425,1.00E+15,2025-12-30T10:51:14
BHARATFORG,INE465A01025,30-12-2025,NSE,EQ,EQ,buy,FALSE,3,1456.5,1620123,1.00E+15,2025-12-30T10:51:14
BHARATFORG,INE465A01025,30-12-2025,NSE,EQ,EQ,buy,FALSE,5,1456.5,1624649,1.00E+15,2025-12-30T10:51:14
KARURVYSYA,INE036D01028,02-01-2026,NSE,EQ,EQ,sell,FALSE,50,274,403820017,1.20E+15,2026-01-02T12:01:59
BHARATFORG,INE465A01025,06-01-2026,NSE,EQ,EQ,sell,FALSE,2,1471,4788683,1.00E+15,2026-01-06T14:13:30
BHARATFORG,INE465A01025,06-01-2026,NSE,EQ,EQ,sell,FALSE,8,1471,4788682,1.00E+15,2026-01-06T14:13:30
KARURVYSYA,INE036D01028,07-01-2026,BSE,EQ,B,sell,FALSE,18,270.799988,3703300,1.77E+18,2026-01-07T12:01:23
KARURVYSYA,INE036D01028,07-01-2026,BSE,EQ,B,sell,FALSE,27,270.850006,3703100,1.77E+18,2026-01-07T12:01:23
KARURVYSYA,INE036D01028,07-01-2026,BSE,EQ,B,sell,FALSE,5,270.899994,3702900,1.77E+18,2026-01-07T12:01:23
HINDCOPPER,INE531E01026,08-01-2026,NSE,EQ,EQ,sell,FALSE,155,537.099976,200049026,1.10E+15,2026-01-08T09:15:02
GROWW,INE0HOQ01053,08-01-2026,NSE,EQ,EQ,buy,FALSE,250,163.75,200179299,1.10E+15,2026-01-08T09:16:01
JKTYRE,INE573A01042,12-01-2026,NSE,EQ,EQ,sell,FALSE,25,500,206058880,1.10E+15,2026-01-12T09:15:24
JKTYRE,INE573A01042,12-01-2026,NSE,EQ,EQ,sell,FALSE,25,500,206058881,1.10E+15,2026-01-12T09:15:24
POCL,INE063E01053,14-01-2026,NSE,EQ,EQ,buy,FALSE,1,1445.800049,406699941,1.20E+15,2026-01-14T15:08:38
POCL,INE063E01053,14-01-2026,NSE,EQ,EQ,buy,FALSE,14,1445.699951,406699940,1.20E+15,2026-01-14T15:08:38
POCL,INE063E01053,14-01-2026,NSE,EQ,EQ,buy,FALSE,5,1445.599976,406699939,1.20E+15,2026-01-14T15:08:38
GROWW,INE0HOQ01053,19-01-2026,NSE,EQ,EQ,sell,FALSE,250,170,201631935,1.10E+15,2026-01-19T09:28:57
POCL,INE063E01053,20-01-2026,NSE,EQ,EQ,sell,FALSE,1,1363.699951,402329100,1.20E+15,2026-01-20T10:37:44
POCL,INE063E01053,20-01-2026,NSE,EQ,EQ,sell,FALSE,6,1364.099976,402329098,1.20E+15,2026-01-20T10:37:44
POCL,INE063E01053,20-01-2026,NSE,EQ,EQ,sell,FALSE,6,1364.300049,402329097,1.20E+15,2026-01-20T10:37:44
POCL,INE063E01053,20-01-2026,NSE,EQ,EQ,sell,FALSE,7,1364,402329099,1.20E+15,2026-01-20T10:37:44
DCBBANK,INE503A01015,27-01-2026,NSE,EQ,EQ,buy,FALSE,200,198.75,211565686,1.10E+15,2026-01-27T15:07:28
DCBBANK,INE503A01015,01-02-2026,NSE,EQ,EQ,sell,FALSE,131,189.539993,202312870,1.10E+15,2026-02-01T09:49:36
DCBBANK,INE503A01015,01-02-2026,NSE,EQ,EQ,sell,FALSE,30,189.559998,202312868,1.10E+15,2026-02-01T09:49:36
DCBBANK,INE503A01015,01-02-2026,NSE,EQ,EQ,sell,FALSE,31,189.550003,202312869,1.10E+15,2026-02-01T09:49:36
DCBBANK,INE503A01015,01-02-2026,NSE,EQ,EQ,sell,FALSE,8,189.529999,202312871,1.10E+15,2026-02-01T09:49:36
